task_id,dataset_source,gpt-4.1-mini__contract_first,gpt-4.1-mini__direct_baseline,gpt-4.1-mini__failure_mode_first,gpt-4.1-mini__multi_view,gpt-4.1-mini__pattern_skeleton,gpt-4.1-mini__role_decomposed,gpt-4.1-mini__semantic_diff,gpt-4.1-mini__simulation_trace,gpt-4.1-nano__contract_first,gpt-4.1-nano__direct_baseline,gpt-4.1-nano__failure_mode_first,gpt-4.1-nano__multi_view,gpt-4.1-nano__pattern_skeleton,gpt-4.1-nano__role_decomposed,gpt-4.1-nano__semantic_diff,gpt-4.1-nano__simulation_trace
cc_tc_template_component_shadow,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_component_status_shadow_v2,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_detail_languages_shadow,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_detail_maxpoints_shadow,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_difficulty_case_trap,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_include_flag_split,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_include_flag_split_v2,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_limit_default_trap,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_limit_metadata_incomplete,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_round_sort_trap,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tc_template_tags_case_incomplete,topcoder_tc_template_node_postgres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tmuxp_configdir_incomplete,tmux_python_tmuxp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tmuxp_extension_incomplete_patch,tmux_python_tmuxp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cc_tmuxp_hidden_workspace_shadow,tmux_python_tmuxp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tmuxp_home_skip_trap,tmux_python_tmuxp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tmuxp_private_path_trap,tmux_python_tmuxp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tmuxp_recent_first_temporal,tmux_python_tmuxp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tmuxp_stop_home_trap,tmux_python_tmuxp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
cc_tmuxp_yaml_precedence_trap,tmux_python_tmuxp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc_tmuxp_yaml_skip_shadow_v2,tmux_python_tmuxp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
