task_id,strategy,model,provider,pass_rate,passed
cc_tc_template_include_flag_split_v2,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_include_flag_split_v2,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_include_flag_split_v2,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_limit_default_trap,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_limit_default_trap,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_limit_default_trap,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_limit_default_trap,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_limit_metadata_incomplete,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_limit_metadata_incomplete,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_limit_metadata_incomplete,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_limit_metadata_incomplete,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_round_sort_trap,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_round_sort_trap,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_round_sort_trap,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_round_sort_trap,semantic_diff,plan-runner,ollama,0.0,0
cc_tc_template_tags_case_incomplete,contract_first,plan-runner,ollama,0.0,0
cc_tc_template_tags_case_incomplete,direct_baseline,plan-runner,ollama,0.0,0
cc_tc_template_tags_case_incomplete,multi_view,plan-runner,ollama,0.0,0
cc_tc_template_tags_case_incomplete,semantic_diff,plan-runner,ollama,0.0,0
cc_tmuxp_extension_incomplete_patch,contract_first,plan-runner,ollama,0.0,0
cc_tmuxp_extension_incomplete_patch,direct_baseline,plan-runner,ollama,0.0,0
cc_tmuxp_extension_incomplete_patch,multi_view,plan-runner,ollama,0.0,0
cc_tmuxp_extension_incomplete_patch,semantic_diff,plan-runner,ollama,0.0,0
cc_tmuxp_hidden_workspace_shadow,contract_first,plan-runner,ollama,0.0,0
cc_tmuxp_hidden_workspace_shadow,direct_baseline,plan-runner,ollama,0.0,0
cc_tmuxp_hidden_workspace_shadow,multi_view,plan-runner,ollama,0.0,0
cc_tmuxp_hidden_workspace_shadow,semantic_diff,plan-runner,ollama,0.0,0
cc_tmuxp_home_skip_trap,contract_first,plan-runner,ollama,0.0,0
cc_tmuxp_home_skip_trap,direct_baseline,plan-runner,ollama,0.0,0
cc_tmuxp_home_skip_trap,multi_view,plan-runner,ollama,0.0,0
cc_tmuxp_home_skip_trap,semantic_diff,plan-runner,ollama,0.0,0
cc_tmuxp_recent_first_temporal,contract_first,plan-runner,ollama,0.0,0
cc_tmuxp_recent_first_temporal,direct_baseline,plan-runner,ollama,0.0,0
cc_tmuxp_recent_first_temporal,multi_view,plan-runner,ollama,0.0,0
cc_tmuxp_recent_first_temporal,semantic_diff,plan-runner,ollama,0.0,0
cc_tmuxp_stop_home_trap,contract_first,plan-runner,ollama,0.0,0
cc_tmuxp_stop_home_trap,direct_baseline,plan-runner,ollama,0.0,0
cc_tmuxp_stop_home_trap,multi_view,plan-runner,ollama,0.0,0
cc_tmuxp_stop_home_trap,semantic_diff,plan-runner,ollama,0.0,0
cc_tmuxp_yaml_precedence_trap,contract_first,plan-runner,ollama,0.0,0
cc_tmuxp_yaml_precedence_trap,direct_baseline,plan-runner,ollama,0.0,0
cc_tmuxp_yaml_precedence_trap,multi_view,plan-runner,ollama,0.0,0
cc_tmuxp_yaml_precedence_trap,semantic_diff,plan-runner,ollama,0.0,0
